city,lng,lat
"Grand Rapids","-85.20500000","43.46800000"
"Grayling","-159.44200000","63.49000000"
"Great Falls","-110.95200000","47.80300000"
"Green Bay","-87.55000000","44.80800000"
"Greensboro","-79.89600000","36.16200000"
"Greenville","-81.69900000","35.49200000"
"Gulfport","-88.45100000","30.67800000"
"Gunnison","-106.88900000","38.88900000"
"Gustavus","-135.51200000","58.70800000"
"Hagerstown","-77.55000000","40.17900000"
"Hailey","-113.82700000","43.84000000"
"Haines","-135.20700000","59.40600000"
"Hana","-155.35800000","21.32600000"
"Hancock","-88.14900000","47.28000000"
"Harlingen","-97.42400000","26.38000000"
"Harrisburg","-76.60600000","40.32200000"
"Harrison","-92.59200000","36.43500000"
"Hattiesburg/Laurel","-88.89600000","31.77800000"
"Havre","-109.60400000","48.90400000"
"Hayden","-106.69700000","40.80100000"
"Hays","-98.78900000","39.40300000"
"Healy","-148.94900000","64.44500000"
"Helena","-111.97200000","47.01100000"
"Hibbing","-92.73200000","47.64400000"
"Hilo","-154.41500000","20.20200000"
"Hilton Head","-80.58700000","32.36000000"
"Hobbs","-102.69600000","33.14500000"
"Hollis","-132.41100000","55.80200000"
"Holy Cross","-159.62500000","62.31300000"
"Homer","-151.12800000","60.07500000"
"Honolulu","-157.87100000","21.53100000"
"Hoonah","-135.01700000","58.16000000"
"Hooper Bay","-165.57900000","61.87300000"
"Hot Springs","-92.49400000","34.79600000"
"Houston","-94.90300000","30.64000000"
"Hughes","-153.77500000","66.06500000"
"Huntington","-82.26400000","38.61100000"
"Huntsville","-86.62600000","35.06100000"
"Huron","-97.71500000","44.64200000"
"Huslia","-155.91900000","66.16200000"
"Hydaburg","-132.71400000","55.34300000"
"Idaho Falls","-111.45200000","43.85700000"
"Igiugig","-155.83700000","59.54000000"
"Iliamna","-154.85200000","60.25700000"
"Imperial","-115.29800000","33.39000000"
"Indianapolis","-85.82400000","40.19500000"
"International Falls","-93.00600000","48.94300000"
"Inyokern","-117.71600000","36.09800000"
"Iron Mountain","-87.52500000","46.36300000"
"Ironwood","-89.55300000","46.87900000"
"Islip","-72.50100000","41.32500000"
"Ithaca","-76.09800000","42.81800000"
"Jacksn Hole","-110.56300000","44.01200000"
"Jackson","-89.46000000","32.51800000"
"Jacksonville","-81.48000000","30.82300000"
"Jacksonville NC","-77.35400000","35.38100000"
"Jamestown","-78.76400000","42.25500000"
"Johnstown","-78.72400000","40.52600000"
"Jonesboro","-90.41100000","36.38600000"
"Joplin","-94.16400000","37.25300000"
"Juneau","-134.29400000","58.59100000"
"Kahului","-156.05100000","21.49700000"
"Kalamazoo","-85.25400000","42.39100000"
"Kalispell","-113.76000000","48.51700000"
"Kalskag","-159.90200000","61.89300000"
"Kaltag","-158.56900000","64.53100000"
"Kamuela","-155.44700000","20.00200000"
"Kansas City","-94.52400000","39.49600000"
"Karluk","-154.08400000","57.94400000"
"Kasigluk","-162.20800000","61.45500000"
"Kearney","-98.34500000","41.21100000"
"Kenai","-150.74200000","60.95500000"
"Ketchikan","-131.52300000","55.59200000"
"Key West","-81.60000000","24.92600000"
"Kiana","-160.06200000","67.62600000"
"Killeen","-97.71500000","31.11200000"
"King Cove","-161.77700000","55.19300000"
"King Salmon","-156.41600000","59.12700000"
"Kingman","-113.89700000","35.43200000"
"Kipnuk","-163.38500000","60.55500000"
"Kirksville","-92.24200000","40.15500000"
"Kitoi Bay","-151.95100000","58.31800000"
"Kivalina","-164.27200000","68.22700000"
"Klamath Falls","-121.55500000","42.26000000"
"Klawock","-132.46100000","55.96500000"
"Knoxville","-83.99100000","36.35100000"
"Kobuk","-156.82900000","67.52000000"
"Kodiak","-152.15700000","58.24900000"
"Koliganek","-156.76600000","60.21100000"
"Kona","-155.41000000","20.23100000"
"Kongiganak","-162.80200000","60.60100000"
"Kotlik","-163.22200000","63.05000000"
"Kotzebue","-162.33100000","67.47400000"
"Koyuk","-160.59100000","65.56500000"
"Koyukuk","-157.55100000","65.45900000"
"Kwethluk","-161.07300000","61.31700000"
"Kwigillingok","-162.61500000","60.46000000"
"LaCrosse","-90.76200000","44.46400000"
"Lafayette","-91.98000000","30.34200000"
"Lahania-kapalua","-156.45600000","21.60400000"
"Lake Charles","-92.70600000","30.21000000"
"Lanai","-156.92000000","21.30900000"
"Lancaster","-75.82700000","40.20200000"
"Lansing","-84.31300000","43.29700000"
"Laramie","-105.45900000","41.52000000"
"Laredo","-99.10300000","27.90600000"
"Larsen Bay","-153.96200000","57.89100000"
"Las Vegas","-114.58800000","36.13300000"
"Latrobe","-79.00800000","40.45900000"
"Lawton","-98.02800000","34.94600000"
"Lebanon","-71.84100000","44.04300000"
"Levelock","-156.76500000","59.21300000"
"Lewisburg","-80.00000000","38.43000000"
"Lewiston","-116.35900000","46.62400000"
"Lewistown","-109.11200000","47.08200000"
"Lexington KY","-84.34400000","38.06000000"
"Liberal","-100.93400000","37.07300000"
"Lihue","-158.89900000","22.62600000"
"Lincoln","-96.59900000","41.41800000"
"Little Rock","-91.70800000","35.21500000"
"Long Beach","-117.58700000","34.36200000"
"Longview","-94.52000000","32.64000000"
"Lopez","-122.89700000","48.80600000"
"Los Angeles","-118.01400000","34.57000000"
"Louisville","-85.56100000","38.29000000"
"Lubbock","-101.70500000","34.10600000"
"Lynchburg","-78.66800000","37.54400000"
"Macon","-83.41600000","33.15400000"
"Madison","-88.89600000","43.23300000"
"Mammoth Lakes","-118.73000000","38.04000000"
"Manchester NH","-71.06000000","43.55400000"
"Manhattan","-96.45200000","39.23400000"
"Manistee","-85.74500000","44.45400000"
"Manley Hot Springs","-150.40700000","65.66200000"
"Manokotak","-158.41700000","59.65000000"
"Marion","-88.35200000","38.25800000"
"Marquette","-86.99300000","46.58900000"
"Marshall","-161.37700000","62.44100000"
"Mason City","-93.01200000","43.37400000"
"Massena","-74.74300000","45.55900000"
"Mcallen","-97.73200000","26.29300000"
"McCook","-100.32100000","40.34300000"
"Mcgrath","-155.34400000","63.58800000"
"Medford","-122.79000000","42.62300000"
"Mekoryuk","-165.78500000","60.61900000"
"Memphis","-89.96200000","35.07000000"
"Merced","-120.19000000","37.47400000"
"Meridian","-88.58700000","32.55400000"
"Mesa","-111.42500000","33.51300000"
"Metakatla","-131.29700000","55.21800000"
"Miami","-79.81800000","26.32200000"
"Midland","-101.67000000","32.57000000"
"Miles City","-105.81000000","46.71300000"
"Milwaukee","-87.82800000","43.57800000"
"Minneapolis","-92.70300000","45.46900000"
"Minot","-100.80100000","48.43200000"
"Minto","-148.95000000","65.23900000"
"Missoula","-113.48500000","47.52700000"
"Moab","-109.59200000","39.25800000"
"Mobile","-87.73900000","31.15200000"
"Modesto","-120.92500000","38.04300000"
"Moline","-90.18000000","41.74700000"
"Molokai","-156.49400000","21.25400000"
"Monroe","-91.39700000","32.85100000"
"Monterey","-121.73900000","36.97800000"
"MONTGOMERY","-85.99000000","32.50100000"
"Montrose CO","-107.82400000","38.84900000"
"Morgantown","-79.86100000","40.07100000"
"Mountain Village","-163.47000000","62.15900000"
"Muscle Shoals","-87.35100000","35.24200000"
"Muskegon","-85.73100000","43.28200000"
"Myrtle Beach","-78.88100000","34.13200000"
"Nantucket","-69.43400000","41.42100000"
"Nashville","-86.46400000","36.20700000"
"Nelson Lagoon","-160.60100000","56.01200000"
"New Bedford","-70.92900000","42.12600000"
"New Bern","-76.40500000","35.12100000"
"New Haven","-72.81200000","41.43900000"
"New Orleans","-89.76400000","30.65500000"
"New Stuyahok","-156.88000000","59.74900000"
"New York","-73.63200000","41.06600000"
"Newark","-73.61500000","41.15400000"
"Newburgh","-73.50900000","41.84000000"
"Newport News","-76.15500000","37.21900000"
"Newtok","-164.40200000","61.56500000"
"Niagara Falls","-78.91100000","43.17800000"
"Nightmute","-164.50200000","60.78500000"
"Nikolai","-153.97400000","63.01800000"
"Nikolski","-168.74900000","53.56900000"
"Noatak","-162.95900000","67.94300000"
"Nome","-165.07600000","64.85300000"
"Noorvik","-160.37100000","67.36200000"
"Norfolk","-75.66900000","37.49100000"
"North Bend","-123.74400000","43.69500000"
"North Platte","-100.47400000","41.21000000"
"North Whale Pass","-132.53700000","56.19300000"
"Nuiqsut","-150.34300000","70.35000000"
"Nulato","-157.45700000","65.21500000"
"Nunam Iqua","-164.74700000","62.86700000"
"Nunapitchuk","-162.06600000","61.50900000"
"Oakland","-121.70200000","38.20200000"
"Ogdensburg","-75.11000000","45.13600000"
"Oklahoma City","-97.33500000","35.65500000"
"Old Harbor","-152.78300000","57.36300000"
"Omaha","-95.82400000","41.50500000"
"Ontario","-117.33600000","34.09300000"
"Orlando","-80.84900000","28.71500000"
"Ouzinkie","-152.16800000","58.53800000"
"Owensboro","-86.61200000","38.23300000"
"PADUCAH","-88.62200000","37.10000000"
"Page","-111.08100000","37.54300000"
"Palm Springs","-116.17800000","34.38200000"
"PARKERSBURG","-81.06600000","39.57500000"
"Pasco","-118.53200000","46.44100000"
"Pelican","-135.72800000","58.59200000"
"Pellston","-84.66200000","45.95100000"
"Pendleton","-118.73600000","46.15800000"
"Pensacola","-86.64500000","30.78900000"
"Peoria","-89.48900000","41.10700000"
"Petersburg","-132.90900000","57.33600000"
"Philadelphia","-74.73600000","40.45300000"
"Phoenix","-111.35300000","33.72300000"
"Pierre","-99.81000000","44.63700000"
"Pilot Point","-157.28700000","57.97500000"
"Pilot Station","-162.83300000","62.55700000"
"Pittsburgh (pennsylva)","-79.72200000","40.81900000"
"Plattsburgh","-73.11400000","45.08400000"
"Pocatello","-112.32700000","43.51600000"
"Point Baker","-133.37100000","56.58600000"
"Point Hope","-166.66500000","68.58100000"
"Point Lay","-162.34300000","70.22100000"
"Port Angeles","-123.16700000","48.20000000"
"Port Heiden","-158.38900000","57.59800000"
"Port Lions","-152.74400000","58.47500000"
"Port Moller","-161.70000000","59.01800000"
"Port Protection","-133.35000000","56.54800000"
"Port Williams","-152.30400000","58.81600000"
"Portland","-122.33000000","45.98100000"
"Prescott","-112.03300000","35.09000000"
"Presque Isle","-67.40800000","47.14800000"
"Providence","-71.03400000","42.22000000"
"Provincetown","-69.70300000","42.11900000"
"Provo","-111.53800000","40.36300000"
"Pueblo Memorial","-104.16100000","38.48100000"
"Pullman","-116.51600000","47.23900000"
"Punta Gorda","-81.98500000","27.53200000"
"Quincy","-90.65800000","40.57100000"
"Quinhagak","-161.74300000","60.25800000"
"Raleigh-durham","-78.64600000","36.46200000"
"Rampart","-149.56900000","65.84600000"
"Rapid City","-102.42900000","44.07500000"
"Red Devil","-156.91800000","62.31300000"
"Redding","-121.82300000","40.84800000"
"Redmond-Bend","-120.58400000","44.42300000"
"Reno","-119.61400000","39.83100000"
"Rhinelander","-89.11300000","46.05200000"
"Richmond","-76.86700000","37.84100000"
"Riverton WY","-108.10000000","43.10600000"
"Roanoke VA","-79.96000000","37.54200000"
"Roche Harbor","-122.60000000","49.01300000"
"Rochester","-77.45400000","43.19800000"
"Rock Springs","-108.44200000","41.99000000"
"Rockford","-88.49600000","42.32500000"
"Rockland","-68.49900000","44.10000000"
"Roswell","-104.21800000","33.50200000"
"Ruby","-155.11700000","65.21200000"
"Russian Mission","-160.86600000","62.29100000"
"Rutland","-72.91600000","43.88200000"
"Sacramento","-121.31800000","39.15900000"
"Saginaw","-83.46700000","43.88800000"
"Saint George","-113.32200000","37.15000000"
"Salina","-97.42100000","39.31800000"
"Salisbury","-75.18400000","38.56700000"
"Salt Lake City","-111.96300000","41.31300000"
"San Angelo","-100.16100000","31.59600000"
"San Antonio","-98.11700000","29.88900000"
"San Diego","-116.65000000","33.22200000"
"San Francisco","-121.95900000","38.03100000"
"San Luis Obispo","-120.40400000","35.39400000"
"Sand Point","-160.20500000","55.52500000"
"Sanford","-80.73000000","29.29600000"
"Santa Ana","-117.78100000","34.12600000"
"Santa Barbara","-119.73400000","34.71000000"
"Santa Maria","-120.09500000","35.49800000"
"Saranac Lake","-73.67700000","44.64200000"
"Sarasota","-82.25800000","27.65900000"
"Sault Ste Marie","-84.12100000","46.41800000"
"Savannah","-80.67100000","32.21200000"
"Savoonga","-170.15500000","64.14400000"
"Scammon Bay","-165.28600000","62.40800000"
"Scottsbluff","-103.32700000","42.45600000"
"Scranton","-75.54000000","41.56400000"
"Seal Bay","-152.16700000","58.27700000"
"Seattle","-121.84900000","47.74800000"
"Selawik","-159.97700000","67.00000000"
"Shageluk","-159.28200000","63.15300000"
"Shaktoolik","-160.70700000","64.61800000"
"Sheridan","-106.96700000","45.28200000"
"Shishmaref","-165.48200000","66.41600000"
"Show Low","-109.34300000","34.44200000"
"Shreveport","-93.71000000","32.74400000"
"Shungnak","-156.60500000","67.48000000"
"Sidney","-103.65500000","48.17800000"
"Silver City","-107.59400000","33.06000000"
"Sioux City","-95.97400000","42.67100000"
"Sioux Falls","-96.57000000","43.97000000"
"Sitka","-134.93700000","57.07800000"
"Skagway","-134.86000000","59.76600000"
"Sleetmute","-156.61000000","62.16700000"
"South Bend","-85.86300000","42.18100000"
"South Naknek","-156.33800000","59.17000000"
"Spokane","-117.22400000","48.03300000"
"Springfield","-92.98200000","37.40900000"
"St Mary's","-162.83700000","62.10000000"
"St. George","-169.44000000","56.96200000"
"St. Louis","-89.95100000","39.24700000"
"St. Michael","-161.51800000","63.81600000"
"St. Paul Island","-169.70100000","57.27800000"
"State College Pennsylvania","-77.74800000","41.41500000"
"Stebbins","-161.79700000","63.85900000"
"Stockton","-120.73100000","38.49000000"
"Stony River","-156.31900000","62.31200000"
"Syracuse","-75.51100000","43.18500000"
"Takotna","-155.47200000","63.61900000"
"Tallahassee","-83.91800000","30.66000000"
"Tampa","-82.22300000","28.62500000"
"Tanana","-151.46000000","65.29900000"
"Tatalina","-155.96100000","63.49000000"
"Teller","-165.90000000","65.40000000"
"Telluride","-107.84800000","38.58900000"
"Tenakee Springs","-134.69800000","58.29900000"
"Texarkana","-93.98600000","33.75600000"
"Thief River Falls","-95.64200000","48.10900000"
"Thorne Bay","-132.22800000","56.14600000"
"Tin City","-167.87000000","65.93800000"
"Togiak Village","-159.99500000","59.08800000"
"Toksook Bay","-164.47900000","60.90200000"
"Toledo","-83.68000000","41.97800000"
"Traverse City","-85.30400000","45.23500000"
"Tucson","-110.90200000","32.19300000"
"Tulsa","-95.81400000","36.33000000"
"Tuluksak","-160.95000000","61.16100000"
"Tuntutuliak","-162.44500000","60.55800000"
"Tununak","-164.78700000","60.95900000"
"Tupelo","-88.61700000","34.44600000"
"Twin Falls","-114.14700000","42.80300000"
"Twin Hills","-159.79200000","59.12400000"
"Tyler","-95.00400000","32.59000000"
"Unalakleet","-160.66500000","64.48000000"
"Unalaska","-166.24000000","54.50000000"
"Vail","-106.86300000","40.07000000"
"Valdez","-145.74800000","61.22300000"
"Valdosta","-82.79500000","31.30400000"
"Valparaiso","-86.20900000","30.80500000"
"Venetie","-145.94400000","67.01400000"
"Vernal","-109.18400000","40.73400000"
"Vineyard Haven MA","-70.35900000","41.65200000"
"Visalia","-118.98800000","36.53100000"
"Waco","-96.71800000","32.01800000"
"Wainwright","-159.99200000","71.06300000"
"Wales","-167.49200000","66.03700000"
"Walla Walla","-117.81400000","46.15800000"
"Washington","-77.09400000","39.57400000"
"Wassau","-89.41200000","45.28700000"
"Waterloo","-92.00100000","42.92800000"
"Watertown","-96.59200000","45.52300000"
"Wenatchee","-119.67700000","47.66300000"
"West Palm Beach","-79.49300000","27.13800000"
"Westsound","-122.92200000","49.02900000"
"Weyers Cave","-78.82800000","38.43900000"
"White Mountain","-163.02200000","65.14800000"
"White Plains","-73.51300000","41.11100000"
"Wichita","-97.05600000","38.08300000"
"Wichita Falls","-98.15400000","34.64700000"
"Williamsport","-76.86900000","41.40300000"
"Williston","-103.40400000","48.29600000"
"Wilmington","-77.83800000","34.45100000"
"Windsor Locks","-72.47300000","42.56400000"
"Wolf Point","-105.29200000","48.15700000"
"Worland","-107.91900000","44.60900000"
"Wrangell","-131.95000000","56.80700000"
"Yakima","-120.24000000","46.94700000"
"Yakutat","-138.99000000","59.50200000"
"Youngstown","-80.46600000","41.43400000"
"Yuma","-114.34400000","33.09400000"
"Zachar Bay","-153.58400000","57.91600000"
