country_departure,country_arrival,number_of_routes
"United States","Singapore","4"
"Turkey","Syria","4"
"Syria","Turkey","4"
"Qatar","China","4"
"Qatar","Syria","4"
"China","Qatar","4"
"Australia","South Africa","4"
"South Africa","Australia","4"
"Turkey","Pakistan","4"
"Pakistan","Turkey","4"
"Georgia","Turkey","4"
"Turkey","Georgia","4"
"Croatia","Italy","4"
"Italy","Croatia","4"
"Macau","Japan","4"
"Japan","Macau","4"
"Japan","Turkey","4"
"Turkey","Japan","4"
"Laos","China","4"
"China","Laos","4"
"Turkey","Egypt","4"
"Qatar","Egypt","4"
"Egypt","Turkey","4"
"Egypt","Qatar","4"
"Malaysia","Pakistan","4"
"Pakistan","Malaysia","4"
"Madagascar","Comoros","4"
"Comoros","Madagascar","4"
"Ukraine","Hungary","4"
"Hungary","Ukraine","4"
"Israel","Switzerland","4"
"Switzerland","Israel","4"
"Costa Rica","El Salvador","4"
"El Salvador","Costa Rica","4"
"Peru","Costa Rica","4"
"Poland","Switzerland","4"
"Austria","Poland","4"
"Poland","Austria","4"
"Switzerland","Poland","4"
"Tunisia","Libya","4"
"Libya","Tunisia","4"
"Peru","Ecuador","4"
"Ecuador","Peru","4"
"Ecuador","Venezuela","4"
"Venezuela","Ecuador","4"
"Macedonia","Italy","4"
"Italy","Macedonia","4"
"Kenya","Mozambique","4"
"Mozambique","Kenya","4"
"Congo (Kinshasa)","Kenya","4"
"Netherlands Antilles","Netherlands","4"
"Netherlands","Netherlands Antilles","4"
"Macau","South Korea","4"
"South Korea","Macau","4"
"Turkey","Serbia","4"
"Belgium","Serbia","4"
"Serbia","Turkey","4"
"Netherlands","Belgium","4"
"Indonesia","Saudi Arabia","4"
"Slovenia","Germany","4"
"Germany","Slovenia","4"
"New Zealand","Japan","4"
"Azerbaijan","Turkey","4"
"Turkey","Azerbaijan","4"
"Lebanon","Jordan","4"
"Jordan","Lebanon","4"
"Jordan","Yemen","4"
"Yemen","Jordan","4"
"Mauritius","Italy","4"
"Italy","Mauritius","4"
"Italy","Jordan","4"
"Spain","Ecuador","4"
"Hungary","Spain","4"
"Spain","Jordan","4"
"Jordan","Spain","4"
"Philippines","United States","4"
"Bahrain","Yemen","4"
"Yemen","Bahrain","4"
"South Korea","Indonesia","4"
"Indonesia","South Korea","4"
"Estonia","Russia","4"
"Russia","Estonia","4"
"Russia","Denmark","4"
"Russia","Hungary","4"
"Russia","Sweden","4"
"Russia","Netherlands","4"
"Denmark","Russia","4"
"Hungary","Russia","4"
"Sweden","Russia","4"
"Netherlands","Russia","4"
"Lithuania","Italy","4"
"Estonia","United Kingdom","4"
"Estonia","Germany","4"
"United Kingdom","Estonia","4"
"Germany","Estonia","4"
"Italy","Lithuania","4"
"Iceland","United Kingdom","4"
"Iceland","United States","4"
"United Kingdom","Iceland","4"
"United States","Iceland","4"
"Hungary","Bulgaria","4"
"Bulgaria","Hungary","4"
"Belgium","United Arab Emirates","4"
"United Arab Emirates","Nepal","4"
"United Arab Emirates","Belgium","4"
"Gabon","Cameroon","4"
"Gabon","Congo (Kinshasa)","4"
"Saudi Arabia","Ethiopia","4"
"Italy","Ethiopia","4"
"Congo (Kinshasa)","Gabon","4"
"Ethiopia","Djibouti","4"
"Ethiopia","Saudi Arabia","4"
"Iran","Iraq","4"
"Iraq","Iran","4"
"Czech Republic","United Arab Emirates","4"
"Philippines","United Arab Emirates","4"
"South Korea","United Arab Emirates","4"
"United Arab Emirates","Czech Republic","4"
"United Arab Emirates","Philippines","4"
"United Arab Emirates","South Korea","4"
"United Arab Emirates","Indonesia","4"
"United Arab Emirates","Greece","4"
"Greece","United Arab Emirates","4"
"Lithuania","Ireland","4"
"Switzerland","Ireland","4"
"Ireland","Lithuania","4"
"Ireland","Switzerland","4"
"Lithuania","Norway","4"
"Norway","Lithuania","4"
"Norway","Italy","4"
"Italy","Norway","4"
"Uzbekistan","Kazakhstan","4"
"Kazakhstan","Azerbaijan","4"
"Azerbaijan","Kazakhstan","4"
"Kazakhstan","Uzbekistan","4"
"Zimbabwe","Zambia","4"
"Mali","Cote d'Ivoire","4"
"Cote d'Ivoire","Mali","4"
"Northern Mariana Islands","Japan","4"
"Netherlands","India","4"
"China","Kyrgyzstan","4"
"Cyprus","United Arab Emirates","4"
"Singapore","Sri Lanka","4"
"Sri Lanka","Singapore","4"
"Spain","Cuba","4"
"United Kingdom","Cuba","4"
"Cuba","United Kingdom","4"
"Micronesia","Guam","4"
"Nigeria","United States","4"
"Marshall Islands","Micronesia","4"
"Micronesia","Marshall Islands","4"
"United States","Nigeria","4"
"Azerbaijan","Germany","4"
"Guam","Micronesia","4"
"Germany","Azerbaijan","4"
"Belgium","Mali","4"
"Belgium","Ghana","4"
"Mali","Belgium","4"
"Dominican Republic","Panama","4"
"Panama","Dominican Republic","4"
"Panama","Ecuador","4"
"Panama","Venezuela","4"
"Ecuador","Panama","4"
"Venezuela","Panama","4"
"Czech Republic","Sweden","4"
"Sweden","Czech Republic","4"
"China","Egypt","4"
"Egypt","China","4"
"Equatorial Guinea","Cameroon","4"
"Cameroon","Equatorial Guinea","4"
"Trinidad and Tobago","Grenada","4"
"Grenada","Trinidad and Tobago","4"
"Lithuania","Belgium","4"
"Latvia","Denmark","4"
"Latvia","Sweden","4"
"Belgium","Lithuania","4"
"Denmark","Latvia","4"
"Sweden","Latvia","4"
"Taiwan","Australia","4"
"Australia","Taiwan","4"
"Indonesia","Brunei","4"
"Brunei","Indonesia","4"
"United Kingdom","Qatar","4"
"Qatar","United Kingdom","4"
"Trinidad and Tobago","Barbados","4"
"Kenya","United Kingdom","4"
"Maldives","United Kingdom","4"
"United Kingdom","Kenya","4"
"United Kingdom","Jordan","4"
"Hungary","Serbia","4"
"Belgium","Denmark","4"
"Denmark","Belgium","4"
"Jordan","United Kingdom","4"
"Belarus","Germany","4"
"Germany","Belarus","4"
"Vietnam","Germany","4"
"Brazil","Italy","4"
"Germany","Vietnam","4"
"Italy","Kenya","4"
"Italy","Cuba","4"
"Italy","Brazil","4"
"Netherlands","Kazakhstan","4"
"Kazakhstan","Netherlands","4"
"Poland","Finland","4"
"China","Finland","4"
"Norway","Finland","4"
"Finland","Poland","4"
"Finland","China","4"
"Finland","Norway","4"
"Costa Rica","Colombia","4"
"El Salvador","Nicaragua","4"
"Brazil","Colombia","4"
"Colombia","Costa Rica","4"
"Colombia","Brazil","4"
"Congo (Brazzaville)","Congo (Kinshasa)","4"
"Western Sahara","Morocco","4"
"Congo (Kinshasa)","Congo (Brazzaville)","4"
"Morocco","Western Sahara","4"
"Paraguay","Argentina","4"
"Argentina","Paraguay","4"
"Panama","Nicaragua","4"
"Mexico","Colombia","4"
"Colombia","Mexico","4"
"Cambodia","Malaysia","4"
"Malaysia","Cambodia","4"
"Malaysia","Brunei","4"
"Brunei","Malaysia","4"
"Switzerland","India","4"
"Austria","India","4"
"Turkey","India","4"
"India","Switzerland","4"
"India","Austria","4"
"India","Turkey","4"
"Croatia","France","4"
"Madagascar","France","4"
"Israel","France","4"
"Zambia","Malawi","4"
"Saudi Arabia","France","4"
"Brazil","France","4"
"Martinique","France","4"
"Mayotte","Comoros","4"
"Cameroon","France","4"
"France","Croatia","4"
"France","Israel","4"
"France","Saudi Arabia","4"
"France","Brazil","4"
"France","Martinique","4"
"France","India","4"
"France","Thailand","4"
"Egypt","France","4"
"India","France","4"
"Thailand","France","4"
"Lebanon","France","4"
"Canada","South Korea","4"
"Canada","Turks and Caicos Islands","4"
"Turks and Caicos Islands","Canada","4"
"South Korea","Canada","4"
"Switzerland","Hungary","4"
"Germany","Kenya","4"
"Germany","Mexico","4"
"Mexico","Germany","4"
"Hungary","Switzerland","4"
"Saint Kitts and Nevis","United States","4"
"United States","Saint Kitts and Nevis","4"
"Russia","Georgia","4"
"Georgia","Russia","4"
"Belgium","Greece","4"
"Serbia","Greece","4"
"Greece","Belgium","4"
"Greece","Serbia","4"
"Italy","India","4"
"India","Italy","4"
"India","Japan","4"
"British Virgin Islands","Puerto Rico","4"
"Cameroon","Chad","4"
"Cuba","Dominican Republic","4"
"Dominican Republic","Netherlands Antilles","4"
"Bolivia","Brazil","4"
"Kenya","Uganda","4"
"Costa Rica","Panama","4"
"Nicaragua","Costa Rica","4"
"Panama","Costa Rica","4"
"China","Tajikistan","4"
"Tajikistan","Kazakhstan","4"
"Kazakhstan","Tajikistan","4"
"Bangladesh","Nepal","4"
"Saint Lucia","Martinique","4"
"Guadeloupe","Martinique","4"
"Martinique","Saint Lucia","4"
"Martinique","Guadeloupe","4"
"Montenegro","Russia","4"
"Russia","Montenegro","4"
"Singapore","Burma","4"
"Burma","Singapore","4"
"Romania","Moldova","4"
"Turkey","Moldova","4"
"Moldova","Romania","4"
"Moldova","Turkey","4"
"Burkina Faso","Mali","4"
"Burkina Faso","Cote d'Ivoire","4"
"Cote d'Ivoire","Burkina Faso","4"
